partid	sentid	condition	sentence	word	word_pos	RT	region
0	filler1	filler	Here is a sample filler sentence.	Here	0	194	not-disambig
0	filler1	filler	Here is a sample filler sentence.	is	1	265	not-disambig
0	filler1	filler	Here is a sample filler sentence.	a	2	283	not-disambig
0	filler1	filler	Here is a sample filler sentence.	sample	3	219	not-disambig
0	filler1	filler	Here is a sample filler sentence.	filler	4	269	not-disambig
0	filler1	filler	Here is a sample filler sentence.	sentence.	5	171	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	And	0	167	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	here,	1	247	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	we	2	317	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	have	3	340	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	another	4	284	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	sentence	5	300	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	that	6	254	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	is	7	333	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	longer	8	312	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	with	9	344	not-disambig
0	filler2	filler	And here, we have another sentence that is longer with jabberwocky	jabberwocky	10	198	not-disambig
0	filler3	filler	A shorter one!	A	0	350	not-disambig
0	filler3	filler	A shorter one!	shorter	1	157	not-disambig
0	filler3	filler	A shorter one!	one!	2	347	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	The	0	325	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	girl	1	184	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	fed	2	194	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	the	3	342	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	lamb	4	211	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	remained	5	343	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	relatively	6	466	disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	calm	7	352	disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	desipte	8	165	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	asking	9	200	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	for	10	162	not-disambig
0	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	chicken.	11	157	not-disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	The	0	234	not-disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	girl	1	274	not-disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	who	2	161	not-disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	was	3	163	not-disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	fed	4	308	not-disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	the	5	206	not-disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	lamb	6	325	not-disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	remained	7	195	not-disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	relatively	8	332	disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	calm	9	216	disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	despite	10	280	not-disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	asking	11	156	not-disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	for	12	295	not-disambig
0	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	chicken.	13	250	not-disambig
0	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	The	0	229	not-disambig
0	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	genie	1	188	not-disambig
0	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	served	2	255	not-disambig
0	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	the	3	311	not-disambig
0	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	figs	4	262	not-disambig
0	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	was	5	235	not-disambig
0	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	satisfied	6	359	disambig
0	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	with	7	353	disambig
0	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	the	8	309	not-disambig
0	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	outcome.	9	299	not-disambig
0	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	The	0	188	not-disambig
0	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	genie	1	303	not-disambig
0	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	who	2	162	not-disambig
0	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	was	3	181	not-disambig
0	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	served	4	174	not-disambig
0	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	the	5	291	not-disambig
0	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	figs	6	202	not-disambig
0	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	was	7	257	not-disambig
0	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	satisfied	8	320	disambig
0	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	with	9	310	disambig
0	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	the	10	225	not-disambig
0	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	outcome.	11	154	not-disambig
1	filler1	filler	Here is a sample filler sentence.	Here	0	318	not-disambig
1	filler1	filler	Here is a sample filler sentence.	is	1	326	not-disambig
1	filler1	filler	Here is a sample filler sentence.	a	2	251	not-disambig
1	filler1	filler	Here is a sample filler sentence.	sample	3	230	not-disambig
1	filler1	filler	Here is a sample filler sentence.	filler	4	300	not-disambig
1	filler1	filler	Here is a sample filler sentence.	sentence.	5	274	not-disambig
1	filler2	filler	And here, we have another sentence that is longer with jabberwocky	And	0	336	not-disambig
1	filler2	filler	And here, we have another sentence that is longer with jabberwocky	here,	1	277	not-disambig
1	filler2	filler	And here, we have another sentence that is longer with jabberwocky	we	2	292	not-disambig
1	filler2	filler	And here, we have another sentence that is longer with jabberwocky	have	3	319	not-disambig
1	filler2	filler	And here, we have another sentence that is longer with jabberwocky	another	4	277	not-disambig
1	filler2	filler	And here, we have another sentence that is longer with jabberwocky	sentence	5	208	not-disambig
1	filler2	filler	And here, we have another sentence that is longer with jabberwocky	that	6	214	not-disambig
1	filler2	filler	And here, we have another sentence that is longer with jabberwocky	is	7	179	not-disambig
1	filler2	filler	And here, we have another sentence that is longer with jabberwocky	longer	8	350	not-disambig
1	filler2	filler	And here, we have another sentence that is longer with jabberwocky	with	9	310	not-disambig
1	filler2	filler	And here, we have another sentence that is longer with jabberwocky	jabberwocky	10	167	not-disambig
1	filler3	filler	A shorter one!	A	0	311	not-disambig
1	filler3	filler	A shorter one!	shorter	1	195	not-disambig
1	filler3	filler	A shorter one!	one!	2	172	not-disambig
1	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	The	0	215	not-disambig
1	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	girl	1	202	not-disambig
1	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	fed	2	311	not-disambig
1	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	the	3	257	not-disambig
1	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	lamb	4	242	not-disambig
1	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	remained	5	196	not-disambig
1	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	relatively	6	381	disambig
1	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	calm	7	314	disambig
1	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	desipte	8	308	not-disambig
1	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	asking	9	350	not-disambig
1	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	for	10	227	not-disambig
1	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	chicken.	11	167	not-disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	The	0	170	not-disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	girl	1	283	not-disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	who	2	205	not-disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	was	3	243	not-disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	fed	4	264	not-disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	the	5	297	not-disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	lamb	6	194	not-disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	remained	7	235	not-disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	relatively	8	218	disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	calm	9	276	disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	despite	10	197	not-disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	asking	11	261	not-disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	for	12	242	not-disambig
1	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	chicken.	13	287	not-disambig
1	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	The	0	250	not-disambig
1	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	genie	1	183	not-disambig
1	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	served	2	232	not-disambig
1	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	the	3	254	not-disambig
1	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	figs	4	311	not-disambig
1	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	was	5	325	not-disambig
1	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	satisfied	6	485	disambig
1	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	with	7	364	disambig
1	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	the	8	193	not-disambig
1	critical3	ambiguous	The genie served the figs was satisfied with the outcome. 	outcome.	9	160	not-disambig
1	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	The	0	288	not-disambig
1	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	genie	1	329	not-disambig
1	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	who	2	241	not-disambig
1	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	was	3	221	not-disambig
1	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	served	4	335	not-disambig
1	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	the	5	283	not-disambig
1	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	figs	6	186	not-disambig
1	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	was	7	216	not-disambig
1	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	satisfied	8	313	disambig
1	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	with	9	337	disambig
1	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	the	10	259	not-disambig
1	critical4	unambiguous 	The genie who was served the figs was satisfied with the outcome. 	outcome.	11	250	not-disambig
2	filler1	filler	Here is a sample filler sentence.	Here	0	217	not-disambig
2	filler1	filler	Here is a sample filler sentence.	is	1	285	not-disambig
2	filler1	filler	Here is a sample filler sentence.	a	2	258	not-disambig
2	filler1	filler	Here is a sample filler sentence.	sample	3	225	not-disambig
2	filler1	filler	Here is a sample filler sentence.	filler	4	209	not-disambig
2	filler1	filler	Here is a sample filler sentence.	sentence.	5	278	not-disambig
2	filler2	filler	And here, we have another sentence that is longer with jabberwocky	And	0	220	not-disambig
2	filler2	filler	And here, we have another sentence that is longer with jabberwocky	here,	1	246	not-disambig
2	filler2	filler	And here, we have another sentence that is longer with jabberwocky	we	2	177	not-disambig
2	filler2	filler	And here, we have another sentence that is longer with jabberwocky	have	3	244	not-disambig
2	filler2	filler	And here, we have another sentence that is longer with jabberwocky	another	4	245	not-disambig
2	filler2	filler	And here, we have another sentence that is longer with jabberwocky	sentence	5	287	not-disambig
2	filler2	filler	And here, we have another sentence that is longer with jabberwocky	that	6	301	not-disambig
2	filler2	filler	And here, we have another sentence that is longer with jabberwocky	is	7	316	not-disambig
2	filler2	filler	And here, we have another sentence that is longer with jabberwocky	longer	8	174	not-disambig
2	filler2	filler	And here, we have another sentence that is longer with jabberwocky	with	9	272	not-disambig
2	filler2	filler	And here, we have another sentence that is longer with jabberwocky	jabberwocky	10	260	not-disambig
2	filler3	filler	A shorter one!	A	0	266	not-disambig
2	filler3	filler	A shorter one!	shorter	1	332	not-disambig
2	filler3	filler	A shorter one!	one!	2	259	not-disambig
2	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	The	0	210	not-disambig
2	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	girl	1	189	not-disambig
2	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	fed	2	239	not-disambig
2	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	the	3	208	not-disambig
2	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	lamb	4	189	not-disambig
2	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	remained	5	162	not-disambig
2	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	relatively	6	337	disambig
2	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	calm	7	379	disambig
2	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	desipte	8	181	not-disambig
2	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	asking	9	345	not-disambig
2	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	for	10	228	not-disambig
2	critical1	ambiguous	The girl fed the lamb remained relatively calm desipte asking for chicken.	chicken.	11	288	not-disambig
2	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	The	0	297	not-disambig
2	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	girl	1	336	not-disambig
2	critical2	unambiguous	The girl who was fed the lamb remained relatively calm despite asking for chicken.	who	2	220	not-disambig
